Date,Vehicle_Number,Previous_Node,Origin_Type,Vehicle_Size,Arrival_Time,Volume,Dock_Capacity,Required_Docks,Hour
2024-03-04,VH0082,NDLX->NCRU,Milkrun,14ft,13:15,1479,1000,2,13
2024-03-04,VH0083,BLRX->NCRU,Longhaul,32ft,06:34,7615,1000,8,6
2024-03-04,VH0084,LJP->NCRU,Milkrun,24ft,06:32,1154,1000,2,6
2024-03-04,VH0085,MJAX->NCRU,Longhaul,32ft,18:28,8740,1000,9,18
2024-03-04,VH0086,PATX->NCRU,Longhaul,32ft,17:28,8325,1000,9,17
2024-03-04,VH0087,NDLX->NCRU,Milkrun,24ft,09:55,1436,1000,2,9
2024-03-04,VH0088,PNQX->NCRU,Longhaul,32ft,14:48,9301,1000,10,14
2024-03-04,VH0089,NDLX->NCRU,Milkrun,24ft,14:02,1371,1000,2,14
2024-03-04,VH0090,BLRX->NCRU,Longhaul,32ft,04:38,8386,1000,9,4
2024-03-04,VH0091,LJP->NCRU,Milkrun,17ft,06:38,1322,1000,2,6
2024-03-04,VH0092,LJP->NCRU,Milkrun,24ft,13:49,1347,1000,2,13
2024-03-04,VH0093,ROHX->NCRU,Milkrun,17ft,14:33,1115,1000,2,14
2024-03-04,VH0094,KRL->NCRU,Milkrun,24ft,17:34,983,1000,1,17
2024-03-04,VH0095,LJP->NCRU,Milkrun,24ft,20:34,1054,1000,2,20
2024-03-04,VH0096,LJP->NCRU,Milkrun,14ft,14:24,986,1000,1,14
2024-03-04,VH0097,MJAX->NCRU,Longhaul,32ft,19:26,6171,1000,7,19
2024-03-04,VH0098,NDLX->NCRU,Milkrun,14ft,19:53,1047,1000,2,19
2024-03-04,VH0099,PATX->NCRU,Longhaul,32ft,04:28,8740,1000,9,4
2024-03-04,VH0100,KRL->NCRU,Milkrun,17ft,14:56,882,1000,1,14
2024-03-04,VH0101,KRL->NCRU,Milkrun,14ft,13:18,805,1000,1,13
2024-03-04,VH0102,KRL->NCRU,Milkrun,17ft,16:46,1455,1000,2,16
2024-03-04,VH0103,ROHX->NCRU,Milkrun,24ft,21:59,990,1000,1,21
2024-03-04,VH0104,LKOX->NCRU,Longhaul,32ft,21:37,5618,1000,6,21
2024-03-04,VH0105,BLRX->NCRU,Longhaul,32ft,10:17,5437,1000,6,10
2024-03-04,VH0106,LJP->NCRU,Milkrun,24ft,16:14,1427,1000,2,16
2024-03-04,VH0107,KRL->NCRU,Milkrun,14ft,05:24,1393,1000,2,5
2024-03-04,VH0108,LJP->NCRU,Milkrun,24ft,17:05,971,1000,1,17
2024-03-04,VH0109,MJAX->NCRU,Longhaul,32ft,17:13,7746,1000,8,17
2024-03-04,VH0110,LJP->NCRU,Milkrun,14ft,15:43,808,1000,1,15
2024-03-04,VH0111,KRL->NCRU,Milkrun,17ft,12:23,873,1000,1,12
2024-03-04,VH0112,PNQX->NCRU,Longhaul,32ft,17:08,7219,1000,8,17
2024-03-04,VH0113,GZBX->NCRU,Milkrun,24ft,14:58,1200,1000,2,14
2024-03-04,VH0114,ROHX->NCRU,Milkrun,24ft,20:48,1392,1000,2,20
2024-03-04,VH0115,BLRX->NCRU,Longhaul,32ft,18:24,5250,1000,6,18
2024-03-04,VH0116,BLRX->NCRU,Longhaul,32ft,17:54,5826,1000,6,17
2024-03-04,VH0117,LJP->NCRU,Milkrun,17ft,06:46,1482,1000,2,6
2024-03-04,VH0118,KRL->NCRU,Milkrun,24ft,18:18,1172,1000,2,18
2024-03-04,VH0119,BLRX->NCRU,Longhaul,32ft,16:51,5634,1000,6,16
2024-03-04,VH0120,GZBX->NCRU,Milkrun,14ft,01:08,716,1000,1,1
2024-03-04,VH0121,ROHX->NCRU,Milkrun,24ft,20:15,954,1000,1,20
2024-03-04,VH0122,NDLX->NCRU,Milkrun,24ft,13:53,1058,1000,2,13
2024-03-04,VH0123,GZBX->NCRU,Milkrun,14ft,16:00,1451,1000,2,16
2024-03-04,VH0124,NDLX->NCRU,Milkrun,17ft,18:17,1034,1000,2,18
2024-03-04,VH0125,KRL->NCRU,Milkrun,24ft,18:15,1100,1000,2,18
2024-03-04,VH0126,GZBX->NCRU,Milkrun,24ft,09:17,846,1000,1,9
2024-03-04,VH0127,NDLX->NCRU,Milkrun,14ft,18:23,974,1000,1,18
2024-03-04,VH0128,GZBX->NCRU,Milkrun,24ft,18:15,766,1000,1,18
2024-03-04,VH0129,PNQX->NCRU,Longhaul,32ft,02:22,6365,1000,7,2
2024-03-04,VH0130,BLRX->NCRU,Longhaul,32ft,14:00,8322,1000,9,14
2024-03-04,VH0131,ROHX->NCRU,Milkrun,14ft,03:55,1235,1000,2,3
2024-03-04,VH0132,NDLX->NCRU,Milkrun,24ft,01:58,1215,1000,2,1
2024-03-04,VH0133,LJP->NCRU,Milkrun,14ft,11:27,732,1000,1,11
2024-03-04,VH0134,NDLX->NCRU,Milkrun,17ft,15:38,1387,1000,2,15
2024-03-04,VH0135,MJAX->NCRU,Longhaul,32ft,05:11,6213,1000,7,5
2024-03-04,VH0136,HYDX->NCRU,Longhaul,32ft,10:40,7892,1000,8,10
2024-03-04,VH0137,HYDX->NCRU,Longhaul,32ft,08:50,5581,1000,6,8
2024-03-04,VH0138,NDLX->NCRU,Milkrun,24ft,18:28,1318,1000,2,18
2024-03-04,VH0139,KRL->NCRU,Milkrun,24ft,15:52,707,1000,1,15
2024-03-04,VH0140,LKOX->NCRU,Longhaul,32ft,11:46,5922,1000,6,11
2024-03-04,VH0141,LJP->NCRU,Milkrun,24ft,15:30,1203,1000,2,15
2024-03-04,VH0142,MJAX->NCRU,Longhaul,32ft,09:09,7267,1000,8,9
2024-03-04,VH0143,MJAX->NCRU,Longhaul,32ft,17:03,7932,1000,8,17
2024-03-04,VH0144,HYDX->NCRU,Longhaul,32ft,11:19,6118,1000,7,11
2024-03-04,VH0145,LJP->NCRU,Milkrun,17ft,14:44,1021,1000,2,14
2024-03-04,VH0146,ROHX->NCRU,Milkrun,14ft,03:51,884,1000,1,3
2024-03-04,VH0147,HYDX->NCRU,Longhaul,32ft,21:51,8236,1000,9,21
2024-03-04,VH0148,BLRX->NCRU,Longhaul,32ft,11:09,6659,1000,7,11
2024-03-04,VH0149,ROHX->NCRU,Milkrun,17ft,01:34,986,1000,1,1
2024-03-04,VH0150,ROHX->NCRU,Milkrun,24ft,07:43,1183,1000,2,7
2024-03-04,VH0151,ROHX->NCRU,Milkrun,17ft,23:07,1128,1000,2,23
2024-03-04,VH0152,PATX->NCRU,Longhaul,32ft,18:28,7790,1000,8,18
2024-03-04,VH0153,HYDX->NCRU,Longhaul,32ft,09:19,9111,1000,10,9
2024-03-04,VH0154,HYDX->NCRU,Longhaul,32ft,17:11,6539,1000,7,17
2024-03-04,VH0155,PATX->NCRU,Longhaul,32ft,06:27,7103,1000,8,6
2024-03-04,VH0156,PATX->NCRU,Longhaul,32ft,16:26,6873,1000,7,16
2024-03-04,VH0157,PNQX->NCRU,Longhaul,32ft,17:58,5703,1000,6,17
2024-03-04,VH0158,KRL->NCRU,Milkrun,14ft,15:05,1409,1000,2,15
2024-03-04,VH0159,GZBX->NCRU,Milkrun,24ft,10:25,1324,1000,2,10
2024-03-04,VH0160,MJAX->NCRU,Longhaul,32ft,01:57,5009,1000,6,1
2024-03-04,VH0161,MJAX->NCRU,Longhaul,32ft,15:43,9244,1000,10,15
2024-03-04,VH0162,NDLX->NCRU,Milkrun,14ft,00:39,1228,1000,2,0
2024-03-04,VH0163,KRL->NCRU,Milkrun,14ft,15:17,887,1000,1,15
2024-03-04,VH0164,HYDX->NCRU,Longhaul,32ft,18:06,8843,1000,9,18
2024-03-04,VH0165,HYDX->NCRU,Longhaul,32ft,09:39,5260,1000,6,9
2024-03-04,VH0166,ROHX->NCRU,Milkrun,17ft,18:05,1060,1000,2,18
2024-03-04,VH0167,ROHX->NCRU,Milkrun,17ft,15:44,799,1000,1,15
2024-03-04,VH0168,GZBX->NCRU,Milkrun,14ft,16:43,827,1000,1,16
2024-03-04,VH0169,GZBX->NCRU,Milkrun,24ft,20:06,991,1000,1,20
2024-03-04,VH0170,GZBX->NCRU,Milkrun,14ft,11:32,781,1000,1,11
2024-03-04,VH0171,BLRX->NCRU,Longhaul,32ft,03:59,7831,1000,8,3
2024-03-04,VH0172,LKOX->NCRU,Longhaul,32ft,18:52,8690,1000,9,18
2024-03-04,VH0173,NDLX->NCRU,Milkrun,24ft,20:42,1249,1000,2,20
2024-03-04,VH0174,ROHX->NCRU,Milkrun,17ft,11:59,789,1000,1,11
2024-03-04,VH0175,LKOX->NCRU,Longhaul,32ft,08:35,9191,1000,10,8
2024-03-04,VH0176,MJAX->NCRU,Longhaul,32ft,15:48,8154,1000,9,15
2024-03-04,VH0177,KRL->NCRU,Milkrun,17ft,06:05,732,1000,1,6
2024-03-04,VH0178,GZBX->NCRU,Milkrun,14ft,09:00,1440,1000,2,9
2024-03-04,VH0179,GZBX->NCRU,Milkrun,24ft,01:02,1191,1000,2,1
2024-03-04,VH0180,ROHX->NCRU,Milkrun,14ft,04:21,1253,1000,2,4
2024-03-04,VH0181,NDLX->NCRU,Milkrun,14ft,09:27,1394,1000,2,9
2024-03-04,VH0182,BLRX->NCRU,Longhaul,32ft,13:58,7566,1000,8,13
2024-03-04,VH0183,BLRX->NCRU,Longhaul,32ft,12:26,5295,1000,6,12
2024-03-04,VH0184,NDLX->NCRU,Milkrun,17ft,22:55,862,1000,1,22
2024-03-04,VH0185,KRL->NCRU,Milkrun,24ft,15:50,1152,1000,2,15
2024-03-04,VH0186,GZBX->NCRU,Milkrun,17ft,13:14,1452,1000,2,13
2024-03-04,VH0187,BLRX->NCRU,Longhaul,32ft,08:16,5392,1000,6,8
2024-03-04,VH0188,GZBX->NCRU,Milkrun,17ft,17:06,1304,1000,2,17
2024-03-04,VH0189,HYDX->NCRU,Longhaul,32ft,14:29,6424,1000,7,14
2024-03-04,VH0190,KRL->NCRU,Milkrun,17ft,12:11,1251,1000,2,12
2024-03-04,VH0191,ROHX->NCRU,Milkrun,14ft,09:34,850,1000,1,9
2024-03-04,VH0192,LKOX->NCRU,Longhaul,32ft,18:20,5417,1000,6,18
2024-03-04,VH0193,LKOX->NCRU,Longhaul,32ft,11:24,8115,1000,9,11
2024-03-04,VH0194,KRL->NCRU,Milkrun,14ft,15:50,1479,1000,2,15
2024-03-04,VH0195,HYDX->NCRU,Longhaul,32ft,17:34,7915,1000,8,17
2024-03-04,VH0196,MJAX->NCRU,Longhaul,32ft,18:31,7846,1000,8,18
2024-03-04,VH0197,LJP->NCRU,Milkrun,14ft,18:36,1068,1000,2,18
2024-03-04,VH0198,LJP->NCRU,Milkrun,17ft,18:20,1021,1000,2,18
2024-03-04,VH0199,GZBX->NCRU,Milkrun,14ft,16:04,879,1000,1,16
2024-03-04,VH0200,KRL->NCRU,Milkrun,24ft,14:37,1466,1000,2,14
2024-03-04,VH0201,KRL->NCRU,Milkrun,17ft,12:58,856,1000,1,12
2024-03-04,VH0202,LKOX->NCRU,Longhaul,32ft,19:05,6766,1000,7,19
2024-03-04,VH0203,PATX->NCRU,Longhaul,32ft,23:16,8026,1000,9,23
2024-03-04,VH0204,NDLX->NCRU,Milkrun,17ft,21:09,838,1000,1,21
2024-03-04,VH0205,ROHX->NCRU,Milkrun,24ft,14:33,1290,1000,2,14
2024-03-04,VH0206,PNQX->NCRU,Longhaul,32ft,16:22,5209,1000,6,16
2024-03-04,VH0207,NDLX->NCRU,Milkrun,24ft,11:19,897,1000,1,11
2024-03-04,VH0208,NDLX->NCRU,Milkrun,14ft,04:51,734,1000,1,4
2024-03-04,VH0209,ROHX->NCRU,Milkrun,14ft,11:00,1196,1000,2,11
2024-03-04,VH0210,PNQX->NCRU,Longhaul,32ft,12:11,9184,1000,10,12
2024-03-04,VH0211,ROHX->NCRU,Milkrun,17ft,11:48,972,1000,1,11
2024-03-04,VH0212,HYDX->NCRU,Longhaul,32ft,15:12,9202,1000,10,15
2024-03-04,VH0213,HYDX->NCRU,Longhaul,32ft,08:46,9183,1000,10,8
2024-03-04,VH0214,HYDX->NCRU,Longhaul,32ft,14:47,7677,1000,8,14
2024-03-04,VH0215,HYDX->NCRU,Longhaul,32ft,07:13,8583,1000,9,7
2024-03-04,VH0216,LKOX->NCRU,Longhaul,32ft,12:49,9117,1000,10,12
2024-03-04,VH0217,ROHX->NCRU,Milkrun,14ft,11:30,950,1000,1,11
2024-03-04,VH0218,GZBX->NCRU,Milkrun,24ft,11:59,1495,1000,2,11
2024-03-04,VH0219,GZBX->NCRU,Milkrun,24ft,14:50,1393,1000,2,14
2024-03-04,VH0220,HYDX->NCRU,Longhaul,32ft,12:51,8279,1000,9,12
2024-03-04,VH0221,NDLX->NCRU,Milkrun,17ft,09:23,1006,1000,2,9
2024-03-04,VH0222,LJP->NCRU,Milkrun,17ft,15:55,1262,1000,2,15
2024-03-04,VH0223,GZBX->NCRU,Milkrun,24ft,11:59,744,1000,1,11
2024-03-04,VH0224,GZBX->NCRU,Milkrun,17ft,17:17,1205,1000,2,17
2024-03-04,VH0225,LJP->NCRU,Milkrun,24ft,12:17,1360,1000,2,12
2024-03-04,VH0226,PNQX->NCRU,Longhaul,32ft,04:06,5267,1000,6,4
2024-03-04,VH0227,KRL->NCRU,Milkrun,24ft,16:18,1050,1000,2,16
2024-03-04,VH0228,PATX->NCRU,Longhaul,32ft,18:53,6908,1000,7,18
2024-03-05,VH0229,NDLX->NCRU,Milkrun,14ft,00:36,1012,1000,2,0
2024-03-05,VH0230,ROHX->NCRU,Milkrun,17ft,14:13,990,1000,1,14
2024-03-05,VH0231,KRL->NCRU,Milkrun,14ft,18:16,1224,1000,2,18
2024-03-05,VH0232,KRL->NCRU,Milkrun,17ft,09:07,1352,1000,2,9
2024-03-05,VH0233,NDLX->NCRU,Milkrun,14ft,15:50,959,1000,1,15
2024-03-05,VH0234,PNQX->NCRU,Longhaul,32ft,00:57,6754,1000,7,0
2024-03-05,VH0235,LJP->NCRU,Milkrun,17ft,15:50,1494,1000,2,15
2024-03-05,VH0236,LJP->NCRU,Milkrun,24ft,14:57,983,1000,1,14
2024-03-05,VH0237,LJP->NCRU,Milkrun,17ft,17:52,865,1000,1,17
2024-03-05,VH0238,HYDX->NCRU,Longhaul,32ft,14:13,7968,1000,8,14
2024-03-05,VH0239,MJAX->NCRU,Longhaul,32ft,06:26,9397,1000,10,6
2024-03-05,VH0240,NDLX->NCRU,Milkrun,14ft,23:44,707,1000,1,23
2024-03-05,VH0241,GZBX->NCRU,Milkrun,17ft,13:37,1122,1000,2,13
2024-03-05,VH0242,ROHX->NCRU,Milkrun,14ft,20:36,1388,1000,2,20
2024-03-05,VH0243,KRL->NCRU,Milkrun,17ft,01:58,1404,1000,2,1
2024-03-05,VH0244,ROHX->NCRU,Milkrun,17ft,03:14,1286,1000,2,3
2024-03-05,VH0245,GZBX->NCRU,Milkrun,17ft,11:45,1216,1000,2,11
2024-03-05,VH0246,LKOX->NCRU,Longhaul,32ft,15:20,6128,1000,7,15
2024-03-05,VH0247,NDLX->NCRU,Milkrun,14ft,11:15,1410,1000,2,11
2024-03-05,VH0248,LJP->NCRU,Milkrun,17ft,18:38,1424,1000,2,18
2024-03-05,VH0249,ROHX->NCRU,Milkrun,24ft,18:23,1130,1000,2,18
2024-03-05,VH0250,HYDX->NCRU,Longhaul,32ft,10:46,8998,1000,9,10
2024-03-05,VH0251,PATX->NCRU,Longhaul,32ft,16:15,7059,1000,8,16
2024-03-05,VH0252,PATX->NCRU,Longhaul,32ft,16:05,6702,1000,7,16
2024-03-05,VH0253,NDLX->NCRU,Milkrun,24ft,04:19,925,1000,1,4
2024-03-05,VH0254,MJAX->NCRU,Longhaul,32ft,15:44,7678,1000,8,15
2024-03-05,VH0255,GZBX->NCRU,Milkrun,24ft,11:11,1286,1000,2,11
2024-03-05,VH0256,LJP->NCRU,Milkrun,17ft,18:05,729,1000,1,18
2024-03-05,VH0257,LJP->NCRU,Milkrun,14ft,15:34,984,1000,1,15
2024-03-05,VH0258,PNQX->NCRU,Longhaul,32ft,14:09,8117,1000,9,14
2024-03-05,VH0259,LJP->NCRU,Milkrun,14ft,08:57,1411,1000,2,8
2024-03-05,VH0260,LKOX->NCRU,Longhaul,32ft,14:46,5120,1000,6,14
2024-03-05,VH0261,LKOX->NCRU,Longhaul,32ft,18:14,6965,1000,7,18
2024-03-05,VH0262,KRL->NCRU,Milkrun,24ft,00:45,1470,1000,2,0
2024-03-05,VH0263,LJP->NCRU,Milkrun,17ft,13:51,1181,1000,2,13
2024-03-05,VH0264,GZBX->NCRU,Milkrun,14ft,17:24,1042,1000,2,17
2024-03-05,VH0265,NDLX->NCRU,Milkrun,24ft,14:19,982,1000,1,14
2024-03-05,VH0266,ROHX->NCRU,Milkrun,17ft,12:59,992,1000,1,12
2024-03-05,VH0267,LJP->NCRU,Milkrun,17ft,15:58,949,1000,1,15
2024-03-05,VH0268,KRL->NCRU,Milkrun,14ft,17:30,1041,1000,2,17
2024-03-05,VH0269,ROHX->NCRU,Milkrun,17ft,13:50,1462,1000,2,13
2024-03-05,VH0270,LKOX->NCRU,Longhaul,32ft,23:41,9497,1000,10,23
2024-03-05,VH0271,LJP->NCRU,Milkrun,14ft,22:27,947,1000,1,22
2024-03-05,VH0272,KRL->NCRU,Milkrun,24ft,02:37,932,1000,1,2
2024-03-05,VH0273,HYDX->NCRU,Longhaul,32ft,18:08,6647,1000,7,18
2024-03-05,VH0274,PNQX->NCRU,Longhaul,32ft,04:27,7918,1000,8,4
2024-03-05,VH0275,LJP->NCRU,Milkrun,24ft,01:59,1291,1000,2,1
2024-03-05,VH0276,PATX->NCRU,Longhaul,32ft,05:16,8502,1000,9,5
2024-03-05,VH0277,ROHX->NCRU,Milkrun,17ft,08:02,931,1000,1,8
2024-03-05,VH0278,NDLX->NCRU,Milkrun,14ft,13:30,1462,1000,2,13
2024-03-05,VH0279,LJP->NCRU,Milkrun,14ft,10:14,1170,1000,2,10
2024-03-05,VH0280,NDLX->NCRU,Milkrun,24ft,11:14,720,1000,1,11
2024-03-05,VH0281,LJP->NCRU,Milkrun,17ft,23:47,988,1000,1,23
2024-03-05,VH0282,HYDX->NCRU,Longhaul,32ft,15:17,7464,1000,8,15
2024-03-05,VH0283,PATX->NCRU,Longhaul,32ft,14:45,6322,1000,7,14
2024-03-05,VH0284,KRL->NCRU,Milkrun,14ft,16:38,1444,1000,2,16
2024-03-05,VH0285,ROHX->NCRU,Milkrun,17ft,16:35,1298,1000,2,16
2024-03-05,VH0286,GZBX->NCRU,Milkrun,14ft,11:30,1418,1000,2,11
2024-03-05,VH0287,PATX->NCRU,Longhaul,32ft,12:36,7688,1000,8,12
2024-03-05,VH0288,ROHX->NCRU,Milkrun,14ft,18:52,1014,1000,2,18
2024-03-05,VH0289,LKOX->NCRU,Longhaul,32ft,11:08,7925,1000,8,11
2024-03-05,VH0290,GZBX->NCRU,Milkrun,17ft,08:27,1217,1000,2,8
2024-03-05,VH0291,ROHX->NCRU,Milkrun,14ft,15:42,826,1000,1,15
2024-03-05,VH0292,GZBX->NCRU,Milkrun,17ft,18:38,1095,1000,2,18
2024-03-05,VH0293,NDLX->NCRU,Milkrun,17ft,17:34,1343,1000,2,17
2024-03-05,VH0294,LKOX->NCRU,Longhaul,32ft,18:54,5773,1000,6,18
2024-03-05,VH0295,HYDX->NCRU,Longhaul,32ft,07:02,6989,1000,7,7
2024-03-05,VH0296,LJP->NCRU,Milkrun,14ft,11:36,730,1000,1,11
2024-03-05,VH0297,GZBX->NCRU,Milkrun,24ft,00:20,1010,1000,2,0
2024-03-05,VH0298,ROHX->NCRU,Milkrun,17ft,06:21,1087,1000,2,6
2024-03-05,VH0299,LJP->NCRU,Milkrun,14ft,21:38,988,1000,1,21
2024-03-05,VH0300,LKOX->NCRU,Longhaul,32ft,11:22,8536,1000,9,11
2024-03-05,VH0301,KRL->NCRU,Milkrun,24ft,19:06,1467,1000,2,19
2024-03-05,VH0302,BLRX->NCRU,Longhaul,32ft,12:49,5669,1000,6,12
2024-03-05,VH0303,KRL->NCRU,Milkrun,17ft,08:14,739,1000,1,8
2024-03-05,VH0304,MJAX->NCRU,Longhaul,32ft,12:23,7106,1000,8,12
